DrugBank ID,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99
DB00140,-0.372,0.0189,0.0327,-0.4966,1.0498,0.6764,0.4134,-0.1384,-0.3452,-0.7403,0.1944,-0.5109,1.4422,0.2511,-0.3803,0.2376,0.0976,0.2075,-0.4106,0.5733,-0.0539,-0.0122,-0.5933,-0.1017,0.3566,0.2025,-0.813,0.2162,0.0274,0.173,-0.0971,-0.4058,-0.4283,0.0483,0.0357,-0.2535,-0.2624,-0.4795,-0.5335,-0.344,-0.1209,0.1027,0.0215,-0.2356,-0.4077,-0.556,0.3702,0.0829,-0.1625,0.2299,-0.3701,-0.2552,0.5397,0.1517,-0.2702,0.1991,-0.0791,0.125,0.2634,0.1997,-0.1158,0.1586,0.5676,0.0776,-0.0951,0.3584,0.314,-0.4331,0.1905,-0.0461,0.0395,0.8774,0.3039,-0.4519,-0.4971,0.5084,0.4121,-0.2129,-0.3957,-0.1593,-0.2794,0.3358,0.4338,-0.0396,0.3008,0.1525,0.2666,0.5717,0.1265,0.5259,0.1836,-0.3711,0.3267,0.0569,0.0043,-0.3418,-0.2932,0.0933,0.0714,0.2804
DB00146,1.1438,-1.5047,0.4636,0.26,-1.3692,1.2092,-1.0699,0.2582,-1.2331,-0.3514,1.2945,-0.8943,0.3388,-1.116,0.9561,0.0349,-0.0462,-0.4841,1.0071,-0.3726,1.0666,-0.1134,0.4866,0.0745,1.0975,0.6499,-0.3489,0.3858,-0.3386,-0.5669,-0.3319,-0.1613,2.67,0.4332,0.0777,0.7629,0.1908,-0.0446,-0.6989,0.6282,0.5397,-0.2079,-0.5962,0.9249,0.519,-0.4661,-0.5991,0.278,0.497,-0.1571,-0.5966,-0.5065,-0.5469,-0.6198,-0.3146,0.5195,-0.1856,0.1894,-0.1496,-0.2984,0.5166,-0.2,-0.3304,0.0994,-0.6305,0.756,-0.0462,0.2811,0.9119,0.3287,0.134,-0.1163,-0.0499,-0.0221,-0.058,0.0946,-0.1031,0.2583,-0.1703,0.1255,0.5239,-0.5915,0.3187,0.1359,0.1428,0.6042,0.1531,-0.1938,-0.0697,0.021,0.7373,-0.0756,-0.1075,-0.0308,0.3109,0.0188,-0.1119,-0.1582,-0.4457,-0.2243
DB00150,-0.6431,0.899,1.2976,0.5194,-0.5397,0.2436,0.4017,-0.7231,0.1522,0.4463,-1.2494,0.2872,0.2761,0.3953,-1.2432,-0.0156,-0.0342,0.0843,0.0509,-0.1943,0.3022,-0.1607,0.0581,0.3913,-0.1117,0.65,-0.4129,0.7583,0.9753,0.0093,-0.6314,-0.0526,0.1491,-0.0586,-0.257,0.8046,-0.0654,0.1408,0.0823,0.4689,0.3194,-0.0844,-0.1964,-0.1892,-0.3261,0.1505,-0.0767,-0.022,0.2367,-0.6683,-0.1403,-0.4266,0.0261,-0.093,0.4177,-0.1601,0.05,-0.17,-0.1892,-0.0384,0.6173,0.1203,0.1333,0.3367,0.3949,-0.4751,0.1036,0.0227,0.5245,-0.1027,0.4032,-0.5075,0.1016,0.302,0.3592,-0.1961,0.2379,-0.283,-0.3927,-0.1478,-0.0096,-0.0037,0.243,-0.3946,-0.0524,0.2601,-0.0491,0.1889,0.2943,-0.0276,-0.1214,-0.0436,0.324,0.1978,-0.2847,0.0581,-0.2166,-0.1483,-0.0667,-0.2081
DB00153,0.8939,-1.4014,-0.0174,0.405,-1.4778,0.7925,-0.7763,0.3671,-1.5085,-0.1068,0.9273,-1.2112,0.0171,-1.3047,0.5318,-0.161,0.0039,-0.0925,0.4611,-0.5601,0.5479,-0.0517,-0.1857,0.1787,0.4694,0.8795,-0.1599,0.2542,-0.4682,-0.5934,-0.0542,0.0701,2.7115,0.3139,-0.2783,0.5334,0.7982,0.4055,-0.9563,0.3615,0.6886,-0.2877,-0.4553,1.112,0.6654,-0.6748,-0.5555,0.3836,0.7773,-0.1435,-0.708,-0.3985,-0.0463,-0.8754,-0.2838,0.2113,-0.0727,0.1332,-0.1019,0.028,0.3178,-0.7977,-0.1875,-0.2072,-0.466,0.3927,0.285,0.0317,0.5363,0.4534,0.0613,0.1146,-0.3316,0.2634,-0.1673,0.6269,0.2074,1.0417,-0.1892,0.0377,0.271,-0.4977,0.3342,0.2301,-0.1118,0.6366,-0.0461,0.3176,-0.0681,0.1198,0.3958,-0.4515,0.0282,0.0277,0.14,-0.3487,-0.1577,-0.0494,-0.0837,-0.3254
DB00158,-0.0871,1.1277,1.0293,0.0521,1.5428,0.443,0.7654,-0.9513,0.3601,-0.6062,-0.412,-0.784,0.4865,0.0762,0.5994,-1.1362,-0.6593,0.952,0.2016,-0.4897,0.1411,-0.8897,0.5337,0.021,1.8282,0.9176,-0.7207,-1.0234,0.1534,0.8795,0.8627,0.3156,-0.4981,0.3038,-0.6899,-0.6355,-0.0199,0.0151,0.1427,-0.3242,-0.1542,-0.4927,-1.0206,0.1282,-0.0916,-0.0293,-0.301,-0.201,-0.7582,-0.2602,0.7592,0.1186,-0.4578,0.3633,0.315,0.3515,-0.231,0.1687,-0.4245,0.1294,0.0126,-0.3003,0.2416,-0.2323,0.3426,-0.1306,-0.0747,0.0833,0.5009,0.3357,0.3087,-0.0806,-0.6609,0.1314,0.0632,0.1071,0.1125,0.582,-0.1301,-0.1385,-0.0422,-0.8896,-0.2015,-0.1431,-0.2098,0.2762,-0.671,0.4435,-0.2321,0.4597,0.1937,-0.3708,0.1337,0.5189,-0.4607,0.2923,-0.3507,0.4646,-0.3454,0.1431
DB00162,0.0772,-1.626,0.0972,-0.0533,-0.411,0.2728,-0.6437,-0.0165,-0.3481,-0.4527,0.3427,0.1869,-0.1034,-0.1864,0.2279,-0.1947,-0.0719,-0.5235,-0.0277,-0.3249,0.8638,0.7607,-0.8034,0.3355,-0.0188,0.6556,-0.3436,0.9488,-0.4293,-0.4414,0.6143,0.2443,0.7383,-0.9978,-0.2576,0.4853,-0.3232,-0.2467,-0.3061,-0.3908,-0.5646,0.0921,0.0239,0.5874,-0.7899,0.1863,-0.0697,-0.6894,-0.0032,-0.0069,-0.2333,-0.2905,-0.2143,0.3726,-0.424,-0.2442,-0.1923,0.2566,0.9066,0.5745,0.8958,0.2872,-0.5114,-0.6409,0.6007,-0.4789,-0.1991,0.4011,-0.7582,-0.888,-0.7338,0.0648,0.4848,-0.4135,-0.1849,-0.4387,-0.7505,0.612,-0.0102,-0.4759,0.1766,0.352,0.4636,0.0573,-0.3544,0.0817,0.1942,0.2223,-0.3068,0.0368,0.1332,-0.0011,-0.8201,0.3448,-0.1464,0.1835,-0.5146,0.0578,0.0268,0.6373
DB00163,0.1727,-1.2563,0.3834,-0.2243,-0.661,0.501,-0.2549,0.4076,-0.7062,-0.0833,0.4083,-0.0409,0.7444,0.2157,0.3702,-0.0595,0.0828,0.1774,0.0749,0.2966,0.9398,0.3211,-0.6065,0.2163,0.2074,0.2198,0.2016,-0.054,-0.348,-0.3843,0.6895,0.083,0.386,-0.3066,-0.0712,0.2337,-0.3726,-0.3088,-0.2813,-0.0139,0.0611,-0.2425,-0.3453,0.6289,0.4514,0.0897,0.1209,0.2247,0.2162,-0.197,-0.1462,0.3962,-0.9237,0.2866,-0.2368,0.5243,-0.064,0.4895,-0.2769,0.594,-0.1052,0.6655,-0.2095,0.2283,-0.2059,0.46,0.0682,0.1035,0.0689,-1.0147,0.1565,-0.0671,-0.3096,-0.3156,-0.2102,-0.5932,0.3922,0.0526,0.2512,-0.0461,0.0131,0.2496,-0.0414,0.1933,-0.1584,-0.1054,-0.2027,-0.4549,-0.1641,-0.0594,-0.4307,0.103,0.2445,0.0505,0.0952,0.0465,-0.0801,0.0527,-0.522,0.5464
DB00166,0.0217,-1.0131,1.0393,0.9769,-0.0462,0.9659,-0.3065,-0.6421,1.0587,0.3304,0.2458,0.2285,-0.187,-0.6561,-0.1159,-0.4105,0.0906,-0.1806,1.0314,-0.5202,-0.1612,0.2031,-0.0943,-0.2339,0.2064,0.0248,-0.0843,-0.4223,0.0759,-0.1605,0.0452,-0.3475,0.0218,0.0562,0.01,-0.3743,0.2831,0.1593,0.1056,-0.2834,0.0265,-0.2987,-0.2023,-0.4541,0.0027,-0.4185,-0.0559,0.054,-0.0165,-0.3716,0.2973,0.307,0.2349,-0.0791,-0.2516,-0.0037,0.2163,0.3274,-0.1282,-0.1148,-0.3824,0.1439,-0.0242,-0.2085,0.1704,-0.1435,0.0845,0.3911,-0.0923,0.3792,-0.0669,0.0805,0.2273,0.2326,-0.2247,-0.3178,0.1446,0.3227,0.0982,0.3592,-0.1998,0.0633,-0.2182,0.4395,0.3526,-0.2244,-0.1346,-0.3366,-0.214,0.2271,0.3066,0.1315,0.2265,-0.2068,0.2132,0.2856,0.2606,-0.3556,-0.2954,0.0294
DB00169,1.1401,-1.5508,0.4281,0.3158,-1.4453,1.2445,-0.9294,0.3775,-1.2311,-0.3754,1.2114,-0.7054,0.3291,-1.0887,0.7611,0.0098,-0.0764,-0.3813,0.6074,-0.1886,0.7777,-0.2426,-0.0653,0.4624,0.7679,1.0649,-0.2092,-0.1007,-0.2291,-0.7596,0.0774,-0.1135,2.6468,0.4164,-0.0565,0.4112,0.5387,0.1631,-0.6533,0.6326,0.5662,-0.417,-0.7329,1.0606,0.6253,-0.4367,-0.3455,0.4118,0.6903,-0.1494,-0.5618,-0.3642,-0.4388,-0.7394,-0.7017,0.4493,-0.2171,0.0952,-0.0344,0.1473,0.5653,-0.2724,-0.2844,0.104,-0.5418,0.5946,-0.0393,0.2615,0.6805,0.101,0.0566,0.076,-0.1738,-0.0012,-0.1529,0.0486,-0.0675,0.2316,0.0142,0.1517,0.2594,-0.7176,0.5174,0.2418,0.2118,0.5879,0.0547,-0.3089,-0.2012,0.0451,0.431,0.0833,0.2161,0.0832,0.2928,0.0535,0.0358,-0.3644,-0.5383,-0.2088
DB00170,-1.1176,-0.1984,-0.3131,0.745,-0.323,-0.6346,0.2827,0.062,-0.5809,-0.312,-0.7217,-0.1756,0.3814,-0.095,0.0195,0.9149,0.2167,0.519,-0.3013,0.2446,-0.4546,0.4754,-0.4998,-0.3046,-0.0903,-0.4588,0.0141,-0.1385,-0.1651,-0.0115,0.0141,0.0549,0.0409,-0.1383,-0.2709,-0.0057,0.2015,-0.2315,-0.021,0.1215,-0.1993,-0.0742,-0.1048,0.141,-0.0532,0.2708,0.2206,-0.0175,0.0442,0.0804,-0.1777,-0.5749,-0.2093,-0.0108,-0.0909,0.363,-0.067,0.1157,0.1945,0.0237,0.0591,-0.0795,0.21,0.21,0.1606,0.0007,-0.0637,0.0218,0.0739,0.01,0.293,-0.2635,0.2169,-0.0059,-0.2237,0.1796,0.0185,0.1114,0.0254,0.0804,0.1299,-0.078,-0.2397,-0.016,0.0882,0.1343,-0.2042,-0.2016,-0.1655,0.1059,0.1739,0.1113,0.0886,-0.0591,-0.0222,0.0459,0.2647,0.0363,0.2293,0.1623
DB00175,1.2575,-0.0543,1.7179,-0.0402,-0.1185,0.5663,0.3613,0.6943,0.558,0.0974,0.2506,-0.5146,0.3373,-0.7459,-0.0734,-0.013,-0.1311,0.8709,-0.1448,0.6174,-0.5363,-0.1176,-0.1375,-0.4789,0.0199,0.2333,0.292,-0.5,-0.1811,-0.1982,0.0977,0.5133,-0.3528,0.1849,-0.3695,-0.1178,-0.3468,0.804,0.6197,0.1763,0.2253,-0.333,0.3874,-0.3145,-0.2458,-0.319,-0.892,0.0282,-0.5484,0.4384,0.6743,0.1942,-0.0334,-0.5591,0.1925,-0.0332,0.2852,-0.2663,-0.468,-0.5865,0.0657,1.133,0.1038,-1.0831,0.2802,-0.5637,0.0328,-0.6188,-0.2737,0.6869,-0.1072,0.471,-0.6274,-0.2367,-0.1716,-0.0286,-0.6406,-0.4559,0.445,0.0797,0.6907,-0.5917,0.41,-0.1856,-0.6176,0.3972,-0.0644,-0.2901,0.2711,0.1225,0.5408,0.1786,0.1846,-0.0054,0.3728,-0.0682,0.262,0.2875,-0.2398,0.63
DB00176,-0.7352,-0.3552,0.4092,-0.8302,0.0876,-0.2821,-0.2466,-0.0802,0.7451,0.1768,0.3938,0.1831,0.0069,0.4147,-0.1908,-0.2506,-0.493,0.0284,0.6497,-0.3286,0.7904,0.0663,1.005,-0.5094,0.7153,-0.8257,-0.0982,-0.4879,-0.6881,-0.4028,-0.1735,0.7618,0.1377,0.3481,-0.5643,0.2634,0.1333,-0.7618,0.0731,0.3579,-0.2123,-0.6343,-0.3139,0.303,0.5012,0.1768,-0.036,0.3916,0.032,0.3832,-0.9999,0.6701,-0.5482,0.246,0.2959,-0.3,0.5927,0.6502,0.1116,0.6373,0.1679,0.259,0.5291,0.1855,0.0866,0.0211,0.4648,-0.2621,-0.0555,-0.4735,0.191,-0.3594,-0.1447,-0.1031,-0.3104,0.4134,0.0837,-0.0156,0.5256,0.216,0.3198,-0.2829,-0.3901,-0.0936,0.2764,-0.2727,-0.2892,0.4661,-0.2771,0.0928,-0.4575,0.093,0.1206,0.3294,-0.0847,0.1552,0.1284,-0.0815,-0.0006,-0.1754
DB00177,-0.3456,1.2652,0.7782,0.0997,-1.0071,0.0124,1.131,0.2071,1.1236,-0.7713,-0.2314,-0.1234,0.5155,-0.0905,0.4827,-0.3938,-0.3861,0.27,0.3928,0.5356,-0.1422,0.6162,-0.5977,-0.0013,-0.1336,0.0802,-0.2347,-0.2144,-1.0908,0.9124,0.9712,-0.1773,0.2413,0.3067,0.2733,0.5487,-0.2075,0.319,-0.7935,0.5163,-0.1664,0.0527,0.4435,-0.5294,0.2659,-0.8801,0.7794,0.9341,0.4887,0.1987,-0.3275,0.1438,-0.4414,-0.212,-0.2098,-0.0852,0.4873,-0.6522,0.0271,0.0536,-0.1913,-0.3827,0.1541,0.345,0.3609,-0.1181,0.0851,0.9231,0.4614,-0.4099,-0.2066,-0.3677,0.3333,0.0274,-0.1592,-0.1538,0.4291,-0.0415,-0.13,-0.2466,-0.053,0.0388,0.27,-0.2352,0.6609,0.1546,-0.2397,-0.5717,-0.0047,-0.1801,0.0343,0.5713,-0.0389,-0.4533,-0.5428,0.2899,-0.0411,-0.0604,0.1471,-0.0869
